title,cat,valeur
Concert TDH Glasgow,event,1
yello,artist,1
Confined & refined,moment,1
Confined & refined,mood,0
Confined & refined,top,0
Cool 2015,mood,1
Cool Mat 4,context,0
A Massage Classique octobre,context,1
Cool Mat 4,person,1
Block party,context,0
Couzinade🤪,person,0
Croods Schreiber,artist,1
Boum Boum boum,context,0
Chansons cérémonie,context,1
Club med,context,1
Cross 2,context,1
Céleste,artist,1
Céleste,person,1
Crêpes,context,1
"Dam Dam, on danse",context,1
Da Franco Cou'D'Coeur,artist,0
Da Franco Cou'D'Coeur,person,1
Danse perso,context,1
Dam 34,event,1
Dam 34,person,1
En boucle seul,context,1
Fifth Harmony,context,0
Destroy,artist,0
Destroy,mood,1
Il va faire tout noir,context,1
Musique motivation 💪🏻💪🏻💪🏻,context,1
Douceur Vocale,mood,1
Pour Mix,context,1
ECOS,artist,0
Electro / Chill / Son,mood,1
Electrofun,mood,0
R -JOUR DE TARTIFLETTE,context,0
Relaxing,context,0
En boucle seul,mood,0
En boucle seul,top,0
En mode menace Santana,mood,0
Enfant,genre,1
Enfant,person,0
Epic rap battle of history,period,0
Erasure - Best Of,top,0
Sleeping Sheep,context,1
Spiritualité 2,context,1
Even terrible teenage me,mood,1
Even terrible teenage me,person,0
Everything I listen to,top,0
Extraterrestrial,artist,1
Extraterrestrial,mood,0
F -DJ SET 12,context,0
F -DJ SET 12,event,0
F27,artist,0
Toi et Moi,context,0
Un après-midi,context,1
ahhhhmmmmmmm🥪🌭🍔🍟🍗🍖🧁🍩🍪🍿🎂,context,0
belle_etoile,context,1
Film East Side/Ouest Side-13-14-15-16-17-,artist,1
Film East Side/Ouest Side-13-14-15-16-17-,genre,0
dancing enfants,context,1
Fitness Motivation Hits 2022,mood,1
danse 20,context,1
Flow métal,mood,0
Foi,genre,0
Foi,mood,1
happy day,context,0
Frappe,top,0
Freteville,context,0
Freteville,event,0
Funfit 2022,context,1
meditation et zen,context,1
parade,context,0
Funfit 2022,mood,0
Funk of today,period,1
scout,context,1
Funky and groovy,mood,1
soiree top juin,context,0
GIRLS !,artist,0
GIRLS !,genre,1
Gentils Garçons,artist,1
Gentils Garçons,genre,0
soirée GT,context,0
train2vie,context,0
🍸🏝,context,0
💪🏼,context,1
😎🥳,context,1
Good Vib...,mood,1
12/05/21,event,1
Gova 😎,mood,1
Gran Bang,artist,1
Guitar Hero III,artist,1
Guitar Hero III,genre,0
Gwada 2k22-23,event,0
Gwada 2k22-23,moment,1
HART Beth 2022 A Tribute to Led Zeppelin,event,0
HB Thiéfaine,artist,1
HB Thiéfaine,event,0
HB Thiéfaine,person,0
HG,person,0
30,event,1
Anniversaire papa rock,event,1
Antonin et Jules,event,1
Bayonne 2014,event,1
Hot Reggaeton Latino,mood,0
I Guess I'll have to Change my Plan,artist,1
I Guess I'll have to Change my Plan,mood,1
Ibiza,context,0
Ibiza,event,1
Ibiza,genre,1
Ibiza,moment,0
Booba morceaux les plus populaires 25/05/2017,event,0
Ils ont osé,genre,0
Chansons cérémonie,event,1
Club med,event,0
Crêpes,event,0
Funfit 2022,event,0
JUL a l’encienne,period,0
janvier 2,event,0
janvier 2,moment,1
Gladys night,event,0
Join The Future : UK Bleep,period,0
Gorillaz: The Setlist,event,0
Key Largo,event,0
Journée d’été,mood,1
Philarmonie,event,0
Pilouzic2023,event,1
Un après-midi,event,0
anniv Côme,event,1
Kult FM,artist,1
Kundalove,artist,0
Kundalove,mood,0
caba et jj,event,0
daily september 21,event,0
festayre,event,1
goa,event,0
Lakestone chap16,event,0
Laptiteden,artist,1
marie et gui,event,1
Les titres du moment 19/08/21,event,1
Les titres du moment 19/08/21,moment,0
san josé cool,event,1
soiree top juin,event,1
Lewis & Clark,context,0
Little mix,artist,1
Los Venites,artist,0
Los Venites,genre,0
soirée tei,event,1
wg party,event,1
LoveSongs,genre,0
Légendes du Rock,top,1
M&M's,artist,0
MSB_Psycko,artist,0
MSB_Psycko,context,0
MUSCU ARC 2 👹👹,moment,0
Ma dernière playlist,moment,1
Make it easy,mood,1
Mauvais ordre,artist,1
10 chansons brit  pour se lever,genre,1
Badass Bass,genre,1
Chansons cérémonie,genre,1
Mica,person,0
Mole's 2020 soundtrack,context,0
Chœur NDG,genre,1
Douceur Vocale,genre,1
Mon côté babos,moment,0
Duo Trio,genre,1
Motivation 👟,context,1
Far West,genre,1
Funky and groovy,genre,1
Muse eurockeennes 2022,event,1
GDD POP,genre,1
Musique Mp3,moment,0
Ghibli,genre,1
Hit girls,genre,1
My2022,top,0
Joshua’s drill,genre,1
MyAlter,top,0
NI 💥,artist,0
Just Songs.,genre,0
Les poètes,genre,1
Never Mind School/Let's Rock  (Rentrée 2017),event,0
Never Mind School/Let's Rock  (Rentrée 2017),moment,1
Never Mind School/Let's Rock  (Rentrée 2017),mood,0
New DANCE!!!!,genre,1
Merengue - Elvis Crespo,genre,1
Nike ta mère,genre,0
MyAlter,genre,0
Noize Annoyz Spring 2018,artist,0
Nvl an,event,1
OHPE 2019,artist,0
Nenette Love Slows,genre,1
ORIGINAL SAMPLE,genre,1
Olympia 1973 - Maxime Le Forestier,event,0
Orange,artist,0
PLAY 1,top,0
Panic At The Disco,artist,1
Panic At The Disco,genre,0
Papy blues,artist,0
Papy blues,genre,1
Paris 36,genre,0
Philarmonie,genre,1
Podcasts Anglais,genre,1
Petit miel sucré caramélisé a l’ancienne,period,0
Petit miel sucré caramélisé a l’ancienne,top,0
Sea Shanties,genre,1
Techno Cool,genre,1
Phillips2000,person,0
Phrases enfants Epikoi enkor,person,0
Piano 4 Mains,context,0
Westwards,genre,1
Play 5,top,0
Yéyé 2019,genre,1
Pop douce pour travailler,mood,1
Poupies,artist,1
ZoukaLova,genre,1
Projet ML,context,0
Projet ML,event,0
Quiet Hours,mood,0
a hard,genre,1
arap,genre,1
chanson française Aurélie,genre,1
Repas Chocolat,event,1
Road to sunny,context,1
Rock (newschool),period,0
danse 20,genre,0
Rock de vioque,period,1
Rock 🍺,context,1
Roline,person,0
Rolling baby!!,artist,0
Rolling baby!!,genre,1
Rolling baby!!,mood,1
Roy ❤,person,0
S'entraîner à Chanter,context,1
SALOOOO,mood,1
"SANDRA "" Reflections """,artist,1
"SANDRA "" Reflections """,mood,0
"SANDRA "" Reflections """,person,0
SOPHIE evjf,event,1
STARTER 62,event,0
SYNTH&TIC -- 80s en héritage,genre,1
Salim,artist,0
goa,genre,1
guitare loulou,genre,1
Sans voix...,genre,1
Sans voix...,top,0
Say Nothing,mood,0
génération hit machine 80/2010,genre,0
krap,genre,1
mix stylé chill,genre,0
See You Again,artist,1
Sejo,artist,1
Sejo,person,0
Selec Jazz,top,0
Setlist Françoiz Breut ATBC 17 Nov 2022,event,1
reprise > originale,genre,1
selecton danceFloor,genre,0
Shak,genre,0
A Massage Classique octobre,moment,1
Slow Anniversaire Papa,genre,1
Sons d'été 🏝,context,1
Sons d'été 🏝,moment,0
Sons d'été 🏝,mood,1
Sons of Anarchy S03,artist,1
Sons of Anarchy S03,genre,0
A1. Rap Chill (déc 2017),moment,1
Bayonne 2014,moment,0
Souvenirs d’enfance,mood,0
Space,genre,0
Spice Girls #GirlPower,mood,0
Coup de cœur du week end,moment,0
St Martin 2015,moment,0
Stage Delft 2,event,0
Stage Delft 2,moment,1
Sunday,mood,0
Super Junior,artist,1
Super Junior,person,0
DEEZER 2010,moment,1
Surfaces - chill music,genre,0
Surfaces - chill music,mood,1
Survival tips,mood,0
Survival tips,top,0
TO SHAKE AND MOVE,context,1
TO SHAKE AND MOVE,mood,1
Fevrier❄️❄️❄️,moment,1
Flashback,moment,1
Taytay,artist,0
Taytay,person,0
Funfit 2022,moment,1
Injustement oubliés,moment,1
Theo dessin animés,genre,1
Thot $hit,artist,0
Thot $hit,top,1
Titres du moment,moment,1
Iron maiden la defense arena 2022,moment,0
Mole's 2020 soundtrack,moment,1
Toi et Moi,mood,1
Mp3 tah l'époque,moment,1
Top 1955,top,1
Top 50 - 30ème anniversaire,event,1
Top 50 - 30ème anniversaire,top,1
US 2020,event,0
US 2020,genre,1
US 2020,moment,1
US Ambiancé,context,0
US Ambiancé,mood,1
Offsprings concert 2023,moment,0
Sea Shanties,moment,0
blind test Méaudre mai 2023,moment,0
Un après-midi,mood,0
Un peu de nous,mood,1
cOcOvid 19,moment,1
VB-Chill soirée,genre,0
VB-Chill soirée,person,0
Valfrejus 2023,moment,0
Vasur,person,0
Vintage new music,genre,0
Vintage new music,period,1
Were the end begins,mood,1
flower power 2020,moment,1
Westworld,artist,1
Westworld,genre,0
What the Folk!,artist,0
What the Folk!,genre,1
Why Try,artist,1
Wilfried,artist,0
Wilfried,person,1
X JAPAN,artist,1
X JAPAN,genre,0
YT Zyprexa,artist,0
mon top du mois juin,moment,1
Years and Years,artist,1
Years and Years,mood,0
new2,moment,1
titres du moment,moment,1
Yéyé 2019,moment,1
Yéyé 2019,period,0
ZZ_ARCHIVE _ 25 ans - Festif,context,1
ZZ_ARCHIVE _ 25 ans - Festif,moment,1
ZZ_ARCHIVE _ 25 ans - Festif,mood,0
vielle music,moment,1
# ❤️‍🩹,mood,1
_____________ajd,moment,0
Airy,mood,1
Bohème,mood,1
abcsch,artist,1
adele 2,artist,1
adele 2,person,0
Cool Mat 4,mood,1
ahhhhmmmmmmm🥪🌭🍔🍟🍗🍖🧁🍩🍪🍿🎂,top,0
ambiance copains,context,1
ambiance copains,mood,0
amorous ⛈,artist,0
amorous ⛈,mood,1
ancienne musique,moment,1
anciennes musiques,moment,1
Electrolove,mood,1
anniversaire Pepousie,mood,0
anniversaire Pepousie,person,1
antinea,artist,0
apologize,artist,0
Eurythmique,mood,0
assez !,mood,0
aux souvenirs oubliés 🤍,moment,0
Frappe,mood,0
Hasard Heureux,mood,1
a🩷🩷🩷🩷🩷,top,0
Hit Hard,mood,1
Let’s Get Spooky,mood,1
beauf fragile,genre,0
beauf fragile,mood,0
Love to you Muisix 🥃📼🎶💜,mood,1
belle_etoile,mood,0
Mon côté babos,mood,1
NOW VIBES 11/2021,mood,0
Nike ta mère,mood,1
blindtest c’est l’été!,moment,0
bonjour,context,1
cOcOvid 19,event,0
Relaxing,mood,1
Rock Chill,mood,1
Sex,mood,1
chanson d été,context,1
chanson d été,mood,1
"Sorry, I care..",mood,1
chansons à faire au ukulele,context,1
chill and hot night,context,1
chill rap study,mood,1
compil tranquille du dimanche,mood,1
cool love,genre,0
Techno Cool,mood,1
YT Zyprexa,mood,1
You Found me,mood,0
daily september 21,context,0
ZoukaLova,mood,1
a hard,mood,0
dancing enfants,genre,1
aux souvenirs oubliés 🤍,mood,1
coule,mood,1
digne,mood,0
delecte d la feuille,mood,0
delecte d la feuille,top,1
gonna be a big man someday,mood,1
disco dance 1,context,0
découverte et autres,top,0
ne me ramène pas,mood,1
plann,mood,1
feur,artist,0
flow BB,mood,0
flow BB,person,0
qui donne la patate,mood,1
footing Mali,genre,1
footing Mali,moment,0
fête cool,mood,0
souvenirs 🌻,mood,1
to fill up my heart,mood,1
xoxo,mood,1
{ 2017 - Sunset },mood,1
guitare loulou,context,1
💪🏼,mood,0
😎🥳,mood,1
BLINDTEST - A l'ancienne,period,0
Back to 90s,period,1
hors ligne Aurélien,context,1
Classic 2,period,0
ian,artist,0
ian,person,1
indispensable mariage,context,0
indispensable mariage,event,1
indispensable mariage,top,0
Classic Shit Vol.5,period,0
italienne resto,event,0
italienne resto,genre,0
jvends,artist,0
kikirock,person,0
First part of the eighties,period,1
laserdance,artist,1
laserdance,genre,0
lectur4,context,1
Injustement oubliés,period,0
vielle music,period,0
Alela Diane,person,0
Anniv' mariage pomme le boss,person,1
lilip,person,0
Anniversaire papa rock,person,1
love songs Zaz,genre,0
Crématorium Papa Françoise,person,1
main character,mood,0
marathon nervers,context,0
marathon nervers,event,1
mariage jazz,context,0
mariage jazz,event,1
Jean-Bernard,person,1
Joshua’s drill,person,1
Kidz,person,1
mes albums,top,1
mimi,person,0
Laeti,person,0
Mole's 2020 soundtrack,person,1
mon top du mois juin,top,1
monday,mood,0
Musique Enfants,person,1
musique de boite,context,0
musiques trad,period,1
namour,mood,1
Pascale picard,person,0
nana,artist,0
nana,person,0
Samia,person,0
new guiana 2017,moment,0
Scott,person,1
news vendredi 10/06/20,event,1
no man,artist,1
non conventionnelle,genre,0
nunu,artist,1
nunu,person,0
Un peu de nous,person,1
oby one,artist,1
old dance,genre,1
original dansant,context,1
original dansant,mood,0
otis redding best of,top,0
avec tonton,person,1
picnic woot,context,1
picnic woot,event,0
beajenny,person,1
playlist pour orl,context,0
playlist pour orl,person,1
pop rock surf,context,0
pour quand je voudrais faire du sport,moment,0
pov : tu révises dans un château,mood,0
profs élèves,context,0
préhistoire,period,0
blind test Méaudre mai 2023,person,0
rap classic de vieux! yoyo,top,0
rape,genre,1
relaxe,context,1
caba et jj,person,0
rico loco,artist,1
rico loco,mood,0
dad,person,1
ronaldhino,artist,1
ronaldhino,context,0
rétro cinéma,period,1
dancing enfants,person,1
sasha2012,moment,1
guitare loulou,person,1
hors ligne Aurélien,person,1
lia's songs,person,1
sep,moment,0
servas,context,0
servas,event,0
sing 🗣,context,1
skiiiii ⛷️⛷️,context,1
skiiiii ⛷️⛷️,event,0
lorie,person,0
namour,person,1
soiree top juin,top,1
rock jade,person,1
trisatn,person,1
souvenirs 🌻,moment,1
voiture w mama,person,1
star waz,artist,1
star waz,genre,0
step rap,context,0
still,mood,0
summer tropico,context,0
summer tropico,genre,1
summer tropico,mood,1
지미 ❤️‍🔥,person,1
the Charly s hit,person,1
Awesome mix vol.3,top,1
Best Outlander,top,1
Da Franco Cou'D'Coeur,top,1
tls,context,0
tls,moment,0
Good Music,top,1
top 2k18 Coline,top,1
"HITS 2018 "" vol 2 """,top,0
La sélec,top,1
Les titres du moment 19/08/21,top,0
Love 🥰,top,0
une une ancienne version,genre,0
vendée,genre,0
veni qui,artist,0
Metal Essentials,top,1
My very best of INDOCHINE,top,1
TOP ZZ Top,top,1
vsco,context,0
wet sand,artist,0
wet sand,mood,0
Titres du moment,top,0
wg party,person,0
basics,top,1
les best,top,1
{ 2011 - Mes Vieilles Charrues },event,1
{ 2011 - Mes Vieilles Charrues },moment,0
{ 2011 - Mes Vieilles Charrues },top,0
m'y playlist,top,1
à ré-écouter,context,0
‐M‐ @ Le Scarabée 2023,event,1
☀️day,context,1
♡ русский язык ♡,top,0
中国音乐🎶,genre,1
지미 ❤️‍🔥,artist,1
mes 50 merveilles,top,1
🌫,mood,1
🌻,mood,1
selecton danceFloor,top,0
🍸🏝,mood,1
🍻🍾,context,1
🍻🍾,mood,0
the Beatles en 20 titres,top,1
the greatest,top,1
titres du moment,top,0
top jazz,top,1
🚀🌑,mood,0
# musique,artist,0
# musique,context,0
# musique,event,0
# musique,genre,0
# musique,moment,0
# musique,mood,0
# musique,period,0
# musique,person,0
# musique,top,0
# ❤️‍🩹,artist,0
# ❤️‍🩹,context,0
# ❤️‍🩹,event,0
# ❤️‍🩹,genre,0
# ❤️‍🩹,moment,0
# ❤️‍🩹,period,0
# ❤️‍🩹,person,0
# ❤️‍🩹,top,0
#220219masic,artist,0
#220219masic,context,0
#220219masic,genre,0
#220219masic,mood,0
#220219masic,period,0
#220219masic,person,0
#220219masic,top,0
#Ace of base,artist,1
#Ace of base,context,0
#Ace of base,event,0
#Ace of base,genre,0
#Ace of base,moment,0
#Ace of base,mood,0
#Ace of base,period,0
#Ace of base,person,0
#Ace of base,top,0
#OZ,context,0
#OZ,event,0
#OZ,genre,0
#OZ,moment,0
#OZ,mood,0
#OZ,period,0
#OZ,person,0
#OZ,top,0
#Old School,artist,0
#Old School,context,0
#Old School,event,0
#Old School,genre,0
#Old School,moment,0
#Old School,mood,0
#Old School,period,1
#Old School,person,0
#Old School,top,0
(pl François) Sénégal,artist,0
(pl François) Sénégal,context,0
(pl François) Sénégal,moment,0
(pl François) Sénégal,mood,0
(pl François) Sénégal,period,0
(pl François) Sénégal,person,1
(pl François) Sénégal,top,0
- 2019 - 12,artist,0
- 2019 - 12,context,0
- 2019 - 12,event,0
- 2019 - 12,genre,0
- 2019 - 12,moment,1
- 2019 - 12,mood,0
- 2019 - 12,period,0
- 2019 - 12,person,0
- 2019 - 12,top,0
. Alicia,artist,0
. Alicia,context,0
. Alicia,event,0
. Alicia,genre,0
. Alicia,moment,0
. Alicia,mood,0
. Alicia,period,0
. Alicia,person,1
. Alicia,top,0
...VASCO 7,context,0
...VASCO 7,event,0
...VASCO 7,genre,0
...VASCO 7,moment,0
...VASCO 7,mood,0
...VASCO 7,period,0
...VASCO 7,person,0
...VASCO 7,top,0
.ROCK _ Cold wave,artist,0
.ROCK _ Cold wave,context,0
.ROCK _ Cold wave,event,0
.ROCK _ Cold wave,genre,1
.ROCK _ Cold wave,moment,0
.ROCK _ Cold wave,mood,0
.ROCK _ Cold wave,person,0
.ROCK _ Cold wave,top,0
.gggx,artist,0
.gggx,context,0
.gggx,event,0
.gggx,genre,0
.gggx,moment,0
.gggx,mood,0
.gggx,period,0
.gggx,person,0
.gggx,top,0
.y Ava Max banger no cap y.,artist,1
.y Ava Max banger no cap y.,context,0
.y Ava Max banger no cap y.,event,0
.y Ava Max banger no cap y.,genre,0
.y Ava Max banger no cap y.,moment,0
.y Ava Max banger no cap y.,mood,0
.y Ava Max banger no cap y.,period,0
.y Ava Max banger no cap y.,person,0
0 - Rock,artist,0
0 - Rock,context,0
0 - Rock,event,0
0 - Rock,genre,1
0 - Rock,moment,0
0 - Rock,mood,0
0 - Rock,period,0
0 - Rock,person,0
0 - Rock,top,0
0 GEN Motivation,artist,0
0 GEN Motivation,context,0
0 GEN Motivation,event,0
0 GEN Motivation,genre,0
0 GEN Motivation,moment,0
0 GEN Motivation,mood,1
0 GEN Motivation,period,0
0 GEN Motivation,person,0
0 GEN Motivation,top,0
0 song bird,artist,0
0 song bird,context,0
0 song bird,event,0
0 song bird,moment,0
0 song bird,mood,0
0 song bird,period,0
0 song bird,person,0
0 song bird,top,0
00piano,artist,0
00piano,context,0
00piano,event,0
00piano,genre,1
00piano,moment,0
00piano,mood,0
00piano,period,0
00piano,person,0
00piano,top,0
01 Arcadien,artist,0
01 Arcadien,context,0
01 Arcadien,event,0
01 Arcadien,moment,0
01 Arcadien,mood,0
01 Arcadien,period,0
01 Arcadien,person,0
01 Arcadien,top,0
01- 2020,artist,0
01- 2020,context,0
01- 2020,event,0
01- 2020,genre,0
01- 2020,moment,1
01- 2020,mood,0
01- 2020,period,0
01- 2020,person,0
01- 2020,top,0
01/11/2019,artist,0
01/11/2019,context,0
01/11/2019,event,1
01/11/2019,genre,0
01/11/2019,moment,0
01/11/2019,mood,0
01/11/2019,period,0
01/11/2019,person,0
01/11/2019,top,0
02 The Avener,context,0
02 The Avener,event,0
02 The Avener,genre,0
02 The Avener,moment,0
02 The Avener,mood,0
02 The Avener,period,0
02 The Avener,person,0
02 The Avener,top,0
05/23,artist,0
05/23,context,0
05/23,event,0
05/23,genre,0
05/23,moment,1
05/23,mood,0
05/23,period,0
05/23,person,0
05/23,top,0
07 Anciens Favoris,artist,0
07 Anciens Favoris,context,0
07 Anciens Favoris,event,0
07 Anciens Favoris,genre,0
07 Anciens Favoris,mood,0
07 Anciens Favoris,period,0
07 Anciens Favoris,person,0
1 depress,artist,0
1 depress,context,0
1 depress,event,0
1 depress,genre,0
1 depress,moment,0
1 depress,mood,1
1 depress,period,0
1 depress,person,0
1 depress,top,0
1/blues,artist,0
1/blues,context,0
1/blues,event,0
1/blues,genre,1
1/blues,moment,0
1/blues,mood,0
1/blues,period,0
1/blues,person,0
1/blues,top,0
1017,artist,0
1017,context,0
1017,event,0
1017,genre,0
1017,mood,0
1017,period,0
1017,person,0
1017,top,0
10 chansons brit  pour se lever,artist,0
10 chansons brit  pour se lever,context,1
10 chansons brit  pour se lever,event,0
10 chansons brit  pour se lever,moment,0
10 chansons brit  pour se lever,mood,0
10 chansons brit  pour se lever,period,0
10 chansons brit  pour se lever,person,0
10 chansons brit  pour se lever,top,0
10/2019,artist,0
10/2019,context,0
10/2019,event,0
10/2019,genre,0
10/2019,moment,1
10/2019,mood,0
10/2019,period,0
10/2019,person,0
10/2019,top,0
100% Mac Miller,artist,1
100% Mac Miller,context,0
100% Mac Miller,event,0
100% Mac Miller,genre,0
100% Mac Miller,moment,0
100% Mac Miller,mood,0
100% Mac Miller,period,0
100% Mac Miller,person,0
100% Mac Miller,top,0
100% Pandore,context,0
100% Pandore,event,0
100% Pandore,genre,0
100% Pandore,moment,0
100% Pandore,mood,0
100% Pandore,period,0
100% Pandore,person,0
100% Pandore,top,0
100% RAP,artist,0
100% RAP,context,0
100% RAP,event,0
100% RAP,genre,1
100% RAP,moment,0
100% RAP,mood,0
100% RAP,period,0
100% RAP,person,0
100% RAP,top,0
100% Riles,context,0
100% Riles,event,0
100% Riles,genre,0
100% Riles,moment,0
100% Riles,mood,0
100% Riles,period,0
100% Riles,person,0
100% Riles,top,0
100% raaap,artist,0
100% raaap,context,0
100% raaap,event,0
100% raaap,genre,1
100% raaap,moment,0
100% raaap,mood,0
100% raaap,period,0
100% raaap,person,0
100% raaap,top,0
100%Simon Curtis,artist,1
100%Simon Curtis,context,0
100%Simon Curtis,event,0
100%Simon Curtis,genre,0
100%Simon Curtis,moment,0
100%Simon Curtis,mood,0
100%Simon Curtis,period,0
100%Simon Curtis,person,0
100%Simon Curtis,top,0
10ème liste nov 2016,artist,0
10ème liste nov 2016,context,0
10ème liste nov 2016,event,0
10ème liste nov 2016,genre,0
10ème liste nov 2016,moment,1
10ème liste nov 2016,mood,0
10ème liste nov 2016,period,0
10ème liste nov 2016,person,0
10ème liste nov 2016,top,0
12/05/21,artist,0
12/05/21,context,0
12/05/21,genre,0
12/05/21,moment,0
12/05/21,mood,0
12/05/21,period,0
12/05/21,person,0
12/05/21,top,0
12km Sanary,artist,0
12km Sanary,context,0
12km Sanary,event,1
12km Sanary,genre,0
12km Sanary,moment,0
12km Sanary,mood,0
12km Sanary,period,0
12km Sanary,person,0
12km Sanary,top,0
2 - Love Playlist,artist,0
2 - Love Playlist,context,0
2 - Love Playlist,event,0
2 - Love Playlist,moment,0
2 - Love Playlist,mood,1
2 - Love Playlist,period,0
2 - Love Playlist,person,0
2 - Love Playlist,top,0
2 soirée,artist,0
2 soirée,context,1
2 soirée,event,0
2 soirée,genre,0
2 soirée,moment,0
2 soirée,mood,0
2 soirée,period,0
2 soirée,person,0
2 soirée,top,0
2.3 flûtes,artist,0
2.3 flûtes,context,0
2.3 flûtes,event,0
2.3 flûtes,genre,1
2.3 flûtes,moment,0
2.3 flûtes,mood,0
2.3 flûtes,period,0
2.3 flûtes,person,0
2.3 flûtes,top,0
2000’s,artist,0
2000’s,context,0
2000’s,event,0
2000’s,genre,0
2000’s,moment,0
2000’s,mood,0
2000’s,period,1
2000’s,person,0
2000’s,top,0
2000’s classics,artist,0
2000’s classics,context,0
2000’s classics,event,0
2000’s classics,genre,0
2000’s classics,moment,0
2000’s classics,mood,0
2000’s classics,period,1
2000’s classics,person,0
2003,artist,0
2003,context,0
2003,event,0
2003,genre,0
2003,moment,1
2003,mood,0
2003,period,0
2003,person,0
2003,top,0
2018 Blind test,artist,0
2018 Blind test,context,1
2018 Blind test,event,0
2018 Blind test,genre,0
2018 Blind test,mood,0
2018 Blind test,period,0
2018 Blind test,person,0
2018 Blind test,top,0
2018 News,artist,0
2018 News,context,0
2018 News,event,0
2018 News,genre,0
2018 News,mood,0
2018 News,person,0
2018 News,top,0
2018 sa mère,artist,0
2018 sa mère,context,0
2018 sa mère,event,0
2018 sa mère,genre,0
2018 sa mère,moment,1
2018 sa mère,mood,0
2018 sa mère,period,0
2018 sa mère,person,0
2019 - Feel Good reggae 3,artist,0
2019 - Feel Good reggae 3,context,0
2019 - Feel Good reggae 3,event,0
2019 - Feel Good reggae 3,genre,1
2019 - Feel Good reggae 3,moment,1
2019 - Feel Good reggae 3,mood,1
2019 - Feel Good reggae 3,period,0
2019 - Feel Good reggae 3,person,0
2019 - Feel Good reggae 3,top,0
2021 - Lounge,artist,0
2021 - Lounge,context,0
2021 - Lounge,event,0
2021 - Lounge,genre,1
2021 - Lounge,moment,1
2021 - Lounge,mood,1
2021 - Lounge,period,0
2021 - Lounge,person,0
2021 - Lounge,top,0
2022 A,artist,0
2022 A,context,0
2022 A,event,0
2022 A,genre,0
2022 A,moment,1
2022 A,mood,0
2022 A,period,0
2022 A,person,0
2022 A,top,0
2022 Loved List,artist,0
